S. No,Song
351,Livin' On A Prayer - Bon Jovi.mp3
352,Livin' On The Edge - Aerosmith.mp3
353,Lola - The Kinks.mp3
354,London Calling - The Clash.mp3
355,Lonely Day - System Of A Down.mp3
356,Long Road To Ruin - Foo Fighters.mp3
357,Longview - Green Day.mp3
358,Loser - Beck.mp3
359,Losing My Religion - R.E.M..mp3
360,Love Bites - Def Leppard.mp3
361,Love Her Madly - The Doors.mp3
362,Love Hurts - Incubus.mp3
363,Love Hurts - Nazareth.mp3
364,Love Me Two Times - The Doors.mp3
365,Lullaby - The Cure.mp3
366,Lump - Presidents Of The United States Of America.mp3
367,Lust For Life - Iggy Pop.mp3
368,Machinehead - Bush.mp3
369,Magic Carpet Ride - Steppenwolf.mp3
370,Make Me Wanna Die - The Pretty Reckless.mp3
371,Mali za urithi.mp3
372,Man In The Box - Alice In Chains.mp3
373,Man On The Moon - R.E.M..mp3
374,Map of the Problematique - Muse.mp3
375,Mapenzi ya pesa - Chief Beka.mp3
376,Maps - Yeah Yeah Yeahs.mp3
377,Mardy Bum - Arctic Monkeys.mp3
378,Master Of Puppets - Metallica.mp3
379,Maybe tomorrow - Stereophonics.mp3
380,Mbiika - Donah.mp3
381,Message In A Bottle - The Police.mp3
382,Misery Business - Paramore.mp3
383,Miss Murder - AFI.mp3
384,Money For Nothing - Dire Straits.mp3
385,Monkey Gone to Heaven - Pixies.mp3
386,Monkey Wrench - Foo Fighters.mp3
387,More Human Than Human - White Zombie.mp3
388,More Than a Feeling - Boston.mp3
389,More Than Words - Extreme.mp3
390,Mr. Brightside - The Killers.mp3
391,Mr. Jones - Counting Crows.mp3
392,Muscle Museum - Muse.mp3
393,My Favourite Game - The Cardigans.mp3
394,My Generation - The Who.mp3
395,My Happy Ending - Avril Lavigne.mp3
396,My Hero - Foo Fighters.mp3
397,My Immortal - Evanescence.mp3
398,My Own Worst Enemy - Lit.mp3
399,My Sacrifice - Creed.mp3
400,My Sharona - The Knack.mp3
401,My Sweet Lord - George Harrison.mp3
402,Mysterious Ways - U2.mp3
403,Naficha.mp3
404,Naive - The Kooks.mp3
405,Ndivyo Yalivyo - Dhilly.mp3
406,Need You Tonight - INXS.mp3
407,Never Tear Us Apart - INXS.mp3
408,New Born - Muse.mp3
409,New Year's Day - U2.mp3
410,Nimerudi Salama.mp3
411,No One Knows - Queens Of The Stone Age.mp3
412,No Rain - Blind Melon.mp3
413,No Surprises - Radiohead.mp3
414,Nothing Else Matters - Metallica.mp3
415,November Rain - Guns N' Roses.mp3
416,Nows the time - The American Crisis.mp3
417,Numb - Linkin Park.mp3
418,Nutshell - Alice In Chains.mp3
419,Ode To My Family - The Cranberries.mp3
420,On A Plain - Nirvana.mp3
421,On Top - The Killers.mp3
422,One - Metallica.mp3
423,One - U2.mp3
424,One Headlight - The Wallflowers.mp3
425,One Last Breath - Creed.mp3
426,One Step Closer - Linkin Park.mp3
427,One Way or Another - Blondie.mp3
428,Only Happy When It Rains - Garbage.mp3
429,Open Your Eyes - Guano Apes.mp3
430,Open Your Eyes - Snow Patrol.mp3
431,Otherside - Red Hot Chili Peppers.mp3
432,Outside - Staind.mp3
433,Owner of a Lonely Heart - Yes.mp3
434,"Paint It, Black - The Rolling Stones.mp3"
435,Papercut - Linkin Park.mp3
436,Paradise - Coldplay.mp3
437,Paradise City - Guns N' Roses.mp3
438,Parallel Universe - Red Hot Chili Peppers.mp3
439,Paranoid - Black Sabbath.mp3
440,Paranoid Android - Radiohead.mp3
441,Patience - Guns N' Roses.mp3
442,Pennyroyal Tea - Nirvana.mp3
443,People Are Strange - The Doors.mp3
444,Perfect Day - Lou Reed.mp3
445,Photograph - Nickelback.mp3
446,Pie in the sky PF - Earthrider.mp3
447,Piece of My Heart - Janis Joplin.mp3
448,Pieces - Sum 41.mp3
449,Pinball Wizard - The Who.mp3
450,Plug in Baby - Muse.mp3
451,Plush - Stone Temple Pilots.mp3
452,Poison- Alice Cooper.mp3
453,Politik - Coldplay.mp3
454,Polly - Nirvana.mp3
455,Pour Some Sugar On Me - Def Leppard.mp3
456,Pretty Fly (For A White Guy) - The Offspring.mp3
457,Pretty Noose - Soundgarden.mp3
458,Pride - U2.mp3
459,Proud Mary - Creedence Clearwater Revival.mp3
460,Pure Morning - Placebo.mp3
461,Purple Haze - The Jimi Hendrix Experience.mp3
462,Push - Matchbox 20.mp3
463,Race of Angels - Leonard Scaper.mp3
464,Radar Love - Golden Earring.mp3
465,Radio Ga Ga - Queen.mp3
466,Radioactive-Imagine Dragons.mp3
467,Rape Me - Nirvana.mp3
468,Read My Mind - The Killers.mp3
469,Rebel Rebel - David Bowie.mp3
470,Rebel Yell - Billy Idol.mp3
471,Red Flag - Billy Talent.mp3
472,Red Heat - Doomtrain.mp3
473,Reptilia - The Strokes.mp3
474,Riders On The Storm - The Doors.mp3
475,Road Trippin' - Red Hot Chili Peppers.mp3
476,Roadhouse Blues - The Doors.mp3
477,Rock & Roll Queen - The Subways.mp3
478,Rock and Roll - Led Zeppelin.mp3
479,Rock the Casbah - The Clash.mp3
480,Rock You Like a Hurricane - Scorpions.mp3
481,Rockstar - Nickelback.mp3
482,Romeo And Juliet - Dire Straits.mp3
483,Rooster - Alice In Chains.mp3
484,Roxanne - The Police.mp3
485,Ruby - Kaiser Chiefs.mp3
486,Run - Snow Patrol.mp3
487,Run To You - Bryan Adams.mp3
488,Runaway Train - Soul Asylum.mp3
489,Running Up That Hill - Placebo.mp3
490,Sacrifice - Richard Shekari.mp3
491,Save Me Again - Kymo-Thitima-Professor-Kamore.mp3
492,Save Tonight - Eagle-Eye Cherry.mp3
493,Savin' Me - Nickelback.mp3
494,Say It Ain't So - Weezer.mp3
495,Scar Tissue - Red Hot Chili Peppers.mp3
496,Scars - Papa Roach.mp3
497,Seether - Veruca Salt.mp3
498,Self Esteem - The Offspring.mp3
499,Semi-Charmed Life - Third Eye Blind.mp3
500,Seven Nation Army - The White Stripes.mp3
501,Sex on Fire - Kings Of Leon.mp3
502,Shadow Of The Day - Linkin Park.mp3
503,Sharp Dressed Man - ZZ Top.mp3
504,She Will Be Loved - Maroon 5.mp3
505,Shine - Collective Soul.mp3
506,Shiny Happy People - R.E.M..mp3
507,Shiver - Coldplay.mp3
508,Shoot to Thrill - AC_DC.mp3
509,Should I Stay or Should I Go - The Clash.mp3
510,Show Me How to Live - Audioslave.mp3
511,Sijazoea - Permius.mp3
512,Simple Man - Lynyrd Skynyrd.mp3
513,Since I've Been Loving You - Led Zeppelin.mp3
514,Sing - Travis.mp3
515,Sing for Absolution - Muse.mp3
516,Skin cells - End of world smile.mp3
517,Sledgehammer - Peter Gabriel.mp3
518,Slide - Goo Goo Dolls.mp3
519,Slide - The Goo Goo Dolls.mp3
520,Smells Like Teen Spirit - Nirvana.mp3
521,Smile Like You Mean It - The Killers.mp3
522,Smoke on the Water - Deep Purple.mp3
523,Smooth - Santana feat. Rob Thomas.mp3
524,Smooth Criminal - Alien Ant Farm.mp3
525,Snow (Hey Oh) - Red Hot Chili Peppers.mp3
526,So Cold - Breaking Benjamin.mp3
527,So Far Away - Dire Straits.mp3
528,Sober - Tool.mp3
529,Somebody to Love - Jefferson Airplane.mp3
530,Somebody To Love - Queen.mp3
531,Someday - Nickelback.mp3
532,Someday - The Strokes.mp3
533,Something - The Beatles Tribute Band.mp3
534,Something In The Way - Nirvana.mp3
535,Sometimes You Can't Make It On Your Own - U2.mp3
536,Somewhere I Belong - Linkin Park.mp3
537,Somewhere Only We Know - Keane.mp3
538,Song 2 - Blur.mp3
539,Song to Say Goodbye - Placebo.mp3
540,Soul To Squeeze - Red Hot Chili Peppers.mp3
541,southern man - Homoerect.mp3
542,Space Oddity - David Bowie.mp3
543,Special K - Placebo.mp3
544,Speed of Sound - Coldplay.mp3
545,Spend the Night with You_2019 - Jack Cannon.mp3
546,Stairway to Heaven - Led Zeppelin.mp3
547,Standing Outside A Broken Phone Booth With Money In My Hand - Primitive Radio Gods.mp3
548,Starlight - Muse.mp3
549,Starman - David Bowie.mp3
550,Start Me Up - The Rolling Stones.mp3
551,Stay with me - Sparkler Jay.mp3
552,Still Loving You - Scorpions.mp3
553,Stockholm Syndrome - Muse.mp3
554,Stop Crying Your Heart Out - Oasis.mp3
555,Street Fighting Man - The Rolling Stones.mp3
556,Streets of Philadelphia - Bruce Springsteen.mp3
557,Stuck In A Moment You Can't Get Out Of - U2.mp3
558,Stupid Girl - Garbage.mp3
559,Suffragette City - David Bowie.mp3
560,Sultans Of Swing - Dire Straits.mp3
561,Summer Of '69 - Bryan Adams.mp3
562,Sunburn - Muse.mp3
563,Sunday Bloody Sunday - U2.mp3
564,Sunshine Of Your Love - Cream.mp3
565,Supermassive Black Hole - Muse.mp3
566,Supersonic - Oasis.mp3
567,Sweet Child O' Mine - Guns N' Roses.mp3
568,Sweet Dreams - Marilyn Manson.mp3
569,Sweet Emotion - Aerosmith.mp3
570,Sweet Home Alabama - Lynyrd Skynyrd.mp3
571,Sympathy For The Devil - The Rolling Stones.mp3
572,T.N.T. - AC_DC.mp3
573,T3baby.mp3
574,Tainted Love - Marilyn Manson.mp3
575,Take a Bow - Muse.mp3
576,Take A Look Around - Limp Bizkit.mp3
577,Take Me Out - Franz Ferdinand.mp3
578,Talk - Coldplay.mp3
579,Tears in Heaven - Eric Clapton.mp3
580,Teenagers - My Chemical Romance.mp3
581,Tell Me Baby - Red Hot Chili Peppers.mp3
582,The Bad Touch - Bloodhound Gang.mp3
583,The Bitter End - Placebo.mp3
584,The Boys Are Back in Town - Thin Lizzy.mp3
585,The Boys Of Summer - Don Henley.mp3
586,The Diary Of Jane - Breaking Benjamin.mp3
587,The Fallen - Franz Ferdinand.mp3
588,The Final Countdown - Europe.mp3
589,The Freshmen - The Verve Pipe.mp3
590,The Ghost of You - My Chemical Romance.mp3
591,The Great Gig In The Sky - Pink Floyd.mp3
592,The Hardest Button to Button - The White Stripes.mp3
593,The Joker - Steve Miller Band.mp3
594,The Kids Aren't Alright - The Offspring.mp3
595,The Kill - Thirty Seconds To Mars.mp3
596,The Logical Song - Supertramp.mp3
597,The Middle - Jimmy Eat World.mp3
598,The One I Love - R.E.M..mp3
599,The Passenger - Iggy Pop.mp3
600,The Pretender - Foo Fighters.mp3
601,The Reason - Hoobastank.mp3
602,The Roaring - Clivey Macdougall.mp3
603,The Scientist - Coldplay.mp3
604,The Show Must Go On - Queen.mp3
605,The Unforgiven - Metallica.mp3
606,The View From The Afternoon - Arctic Monkeys.mp3
607,The Wind Cries Mary - The Jimi Hendrix Experience.mp3
608,The World I Know - Collective Soul.mp3
609,The Zephyr Song - Red Hot Chili Peppers.mp3
610,Thinking about you - Keshy.mp3
611,"This Ain't A Scene, It's An Arms Race - Fall Out Boy.mp3"
612,This Fire - Franz Ferdinand.mp3
613,This Love - Maroon 5.mp3
614,Thnks fr th Mmrs - Fall Out Boy.mp3
615,Through Glass - Stone Sour.mp3
616,Thunder Road - Bruce Springsteen.mp3
617,Thunderstruck - AC_DC.mp3
618,Time - Pink Floyd.mp3
619,Time has come - David James.mp3
620,Time Is Running Out - Muse.mp3
621,Times Like These - Foo Fighters.mp3
622,To See You Again - Douglas Kirby.mp3
623,Today - Smashing Pumpkins.mp3
624,"Tonight, Tonight - The Smashing Pumpkins.mp3"
625,Touch Me - The Doors.mp3
626,Toxicity - System Of A Down.mp3
627,Tribute - Tenacious D.mp3
628,Trouble - Coldplay.mp3
629,Turn me on - Silkel.mp3
630,Two Princes - Spin Doctors.mp3
631,Under My Thumb - The Rolling Stones.mp3
632,"Under Pressure - Queen, David Bowie.mp3"
633,Under the Bridge - Red Hot Chili Peppers.mp3
634,Undisclosed Desires - Muse.mp3
635,Uprising - Muse.mp3
636,Us And Them - Punk Floyd.mp3
637,Use Somebody - Kings Of Leon.mp3
638,Vertigo - U2.mp3
639,Violet Hill - Coldplay.mp3
640,Viva La Vida - Coldplay.mp3
641,Wa yace acire - Dauda Kahutu Rarara.mp3
642,Wake Me up When September Ends - Green Day.mp3
643,Wake Up - Rage Against The Machine.mp3
644,Walk Away - Franz Ferdinand.mp3
645,Walk Of Life - Dire Straits.mp3
646,Walk On - U2.mp3
647,Walk On the Wild Side - Lou Reed.mp3
648,Walk This Way - Aerosmith.mp3
649,Walking On The Moon - The Police.mp3
650,Wanted Dead Or Alive - Bon Jovi.mp3
651,War Pigs - Black Sabbath.mp3
652,We Didn't Start the Fire - Billy Joel.mp3
653,We will rock you - Queen.mp3
654,We're In This Together - Nine Inch Nails.mp3
655,Welcome To My Life - Simple Plan.mp3
656,Welcome to the Black Parade - My Chemical Romance.mp3
657,Welcome To The Jungle - Guns N' Roses.mp3
658,What did he say to you - Jeffkratzman.mp3
659,What I've Done - Linkin Park.mp3
660,What's Up_ - 4 Non Blondes.mp3
661,When I Come Around - Green Day.mp3
662,When I'm Gone - 3 Doors Down.mp3
663,When the Levee Breaks - Led Zeppelin.mp3
664,When The Sun Goes Down - Arctic Monkeys.mp3
665,When You Were Young - The Killers.mp3
666,When You're Gone - Avril Lavigne.mp3
667,Where Is My Mind_ - Pixies.mp3
668,Where It's At - Beck.mp3
669,Where The Streets Have No Name - U2.mp3
670,Wherever You Will Go - The Calling.mp3
671,While My Guitar Gently Weeps - The Beatles.mp3
672,White Rabbit - Jefferson Airplane.mp3
673,White Room - Cream.mp3
674,White Wedding - Billy Idol.mp3
675,Who Are You - The Who.mp3
676,Who Wants To Live Forever - Queen.mp3
677,Whole Lotta Love - Led Zeppelin.mp3
678,Wicked Game - Chris Isaak.mp3
679,Wind Of Change - Scorpions.mp3
680,Wish You Were Here - Pink Floyd.mp3
681,With Arms Wide Open - Creed.mp3
682,With Or Without You - U2.mp3
683,Woman - Wolfmother.mp3
684,Won't Get Fooled Again - The Who.mp3
685,Wonderful Tonight - Eric Clapton.mp3
686,Wonderwall - Oasis.mp3
687,Would - Alice In Chains.mp3
688,Yellow - Coldplay.mp3
689,You are Great - Didier Franco.mp3
690,You Could Be Mine - Guns N' Roses.mp3
691,You Give Love A Bad Name - Bon Jovi.mp3
692,You Only Live Once - The Strokes.mp3
693,You Oughta Know - Alanis Morissette.mp3
694,You Really Got Me - The Kinks.mp3
695,You Shook Me All Night Long - AC_DC.mp3
696,You're My Best Friend - Queen.mp3
697,Youth of the Nation - P.O.D..mp3
698,Zero - The Smashing Pumpkins.mp3
699,Ziggy Stardust - David Bowie.mp3
700,Zombie - The Cranberries.mp3
